,process,product_name,type,unit,value,product_type,carbon_content,data_source,flow_amount,flowxvalue,ghg,bdv,health
88,"terephthalic_acid, from p-xylene by air oxidation_co2",electricity,UTILITIES,kWh,-0.2213915961538462,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
89,"vinyl_chloride, from ethylene by a balanced process_co2",electricity,UTILITIES,kWh,-0.06948971,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
90,"butene_1, from ethylene by dimerization_co2",ethylene_co2,RAW MATERIALS,kg,-1.05515,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
91,"diethylene_glycol, from ethylene via eo_co2",ethylene_co2,RAW MATERIALS,kg,-0.8418342626022521,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
92,"ethylene_glycol, from ethylene via eo_co2",ethylene_co2,RAW MATERIALS,kg,-0.5683340494159247,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
93,"ethylene_oxide, from ethylene by oxygen oxidation_co2",ethylene_co2,RAW MATERIALS,kg,-0.796435,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
94,"hdpe, by gas phase process_co2",ethylene_co2,RAW MATERIALS,kg,-1.00505,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
95,"ldpe, by gas phase process_co2",ethylene_co2,RAW MATERIALS,kg,-0.96736,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
96,"vinyl_chloride, from ethylene by a balanced process_co2",ethylene_co2,RAW MATERIALS,kg,-0.4674,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
97,"ethylene_glycol, from ethylene via eo_co2",ethylene_glycol_co2,PRODUCT,kg,1.0,intermediate,0.387,ihsmarkit,0.0,0.0,,,
98,"pet, by tpa process_co2",ethylene_glycol_co2,RAW MATERIALS,kg,-0.328665,intermediate,0.387,ihsmarkit,0.0,-0.0,,,
99,"ethylene_oxide, from ethylene by oxygen oxidation_co2",ethylene_oxide_co2,PRODUCT,kg,1.0,intermediate,0.545,ihsmarkit,0.0,0.0,,,
100,"polyol_polyether, from po and eo by semi-continuous process_co2",ethylene_oxide_co2,RAW MATERIALS,kg,-0.1007,intermediate,0.545,ihsmarkit,0.0,-0.0,,,
101,"polymeric_mdi, by phosgenation_co2",formaldehyde_co2,RAW MATERIALS,kg,-0.0588735527677667,intermediate,0.4,ihsmarkit,0.0,-0.0,,,
102,"polyol_polyether, from po and eo by semi-continuous process_co2",glycerin,RAW MATERIALS,kg,-0.031,raw_material,0.39,ihsmarkit,0.0,-0.0,-3.231729102989914,-0.0,-2.801915168496436e-06
103,"gpps, by continuous bulk polymerization_co2",gpps_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
104,"hdpe, by gas phase process_co2",hdpe_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
105,"dinitrotoluene, from toluene by nitration_co2",heat_high,UTILITIES,MJ,-4.186799983008,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
106,"gpps, by continuous bulk polymerization_co2",heat_high,UTILITIES,MJ,-0.511836299316,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
107,"nitrobenzene, from benzene by nitration_co2",heat_high,UTILITIES,MJ,-1.265460306048,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
108,"pet, by tpa process_co2",heat_high,UTILITIES,MJ,-2.141548195752,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
109,"polymeric_mdi, by phosgenation_co2",heat_high,UTILITIES,MJ,-0.8178489562221349,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
110,"terephthalic_acid, from p-xylene by air oxidation_co2",heat_high,UTILITIES,MJ,-0.7163421552996925,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
111,"vinyl_chloride, from ethylene by a balanced process_co2",heat_high,UTILITIES,MJ,-2.6586179824320006,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
112,"adipic_acid, from phenol via cyclohexanol_co2",hydrogen,RAW MATERIALS,kg,-0.0392631553237625,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
113,"terephthalic_acid, from p-xylene by air oxidation_co2",hydrogen,RAW MATERIALS,kg,-0.0016906177,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
114,"ldpe, by gas phase process_co2",ldpe_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
115,"acetic_acid, from methanol carbonylation_co2",methanol_co2,RAW MATERIALS,kg,-0.5403866666666666,intermediate,0.375,ihsmarkit,0.0,-0.0,,,
116,"adipic_acid, from phenol via cyclohexanol_co2",n2o_emission,EMISSION,kg,0.0115570981922834,emission,0.0,ihsmarkit,0.0,0.0,273.0,0.0,0.0
117,"adipic_acid, from phenol via cyclohexanol_co2",nitric_acid,RAW MATERIALS,kg,-0.3677951888688839,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
118,"dinitrotoluene, from toluene by nitration_co2",nitric_acid,RAW MATERIALS,kg,-0.6204954973821992,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
119,"nitrobenzene, from benzene by nitration_co2",nitric_acid,RAW MATERIALS,kg,-0.310896,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
120,"nitrobenzene, from benzene by nitration_co2",nitrobenzene_co2,PRODUCT,kg,1.0,intermediate,0.585,ihsmarkit,0.0,0.0,,,
121,"acetic_acid, from methanol carbonylation_co2",nitrogen_liquid,UTILITIES,kg,-0.0015290560277777,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
122,"hdpe, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.056118906275,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
123,"ldpe, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.0229817142333333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
124,"polymeric_mdi, by phosgenation_co2",nitrogen_liquid,UTILITIES,kg,-0.05084843568375,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
125,"polyol_polyester, from adipic acid and deg_co2",nitrogen_liquid,UTILITIES,kg,-0.01788996135,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
126,"polyol_polyether, from po and eo by semi-continuous process_co2",nitrogen_liquid,UTILITIES,kg,-0.0542203349,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
127,"pp, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.0360898923083333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
128,"pvc, by suspension polymerization_co2",nitrogen_liquid,UTILITIES,kg,-0.0068807540666666,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
129,"terephthalic_acid, from p-xylene by air oxidation_co2",nitrogen_liquid,UTILITIES,kg,-0.0076500746615384,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
130,"diethylene_glycol, from ethylene via eo_co2",oxygen_liquid,RAW MATERIALS,kg,-0.8323112824063907,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
131,"ethylene_glycol, from ethylene via eo_co2",oxygen_liquid,RAW MATERIALS,kg,-0.5619049526950435,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
132,"ethylene_oxide, from ethylene by oxygen oxidation_co2",oxygen_liquid,RAW MATERIALS,kg,-0.8113049999999999,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
133,"polymeric_mdi, by phosgenation_co2",oxygen_liquid,RAW MATERIALS,kg,-0.0483438440574428,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
134,"vinyl_chloride, from ethylene by a balanced process_co2",oxygen_liquid,RAW MATERIALS,kg,-0.1378,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
135,"terephthalic_acid, from p-xylene by air oxidation_co2",p-xylene_co2,RAW MATERIALS,kg,-0.6547607692307693,intermediate,0.9056603773584906,ihsmarkit,0.0,-0.0,,,
136,"pet, by tpa process_co2",pet_co2,PRODUCT,kg,1.0,intermediate,0.63,ihsmarkit,0.0,0.0,,,
137,"adipic_acid, from phenol via cyclohexanol_co2",phenol_co2,RAW MATERIALS,kg,-0.6723009521880527,intermediate,0.766,ihsmarkit,0.0,-0.0,,,
138,"polymeric_mdi, by phosgenation_co2",polymeric_mdi_co2,PRODUCT,kg,1.0,intermediate,0.72,ihsmarkit,0.0,0.0,,,
139,"pur_rigid, from polymeric MDI and polyol_co2",polymeric_mdi_co2,RAW MATERIALS,kg,-0.6398,intermediate,0.72,ihsmarkit,0.0,-0.0,,,
140,"polyol_polyester, from adipic acid and deg_co2",polyol_polyester_co2,PRODUCT,kg,1.0,intermediate,0.475,ihsmarkit,0.0,0.0,,,
141,"pur_rigid, from polymeric MDI and polyol_co2",polyol_polyester_co2,RAW MATERIALS,kg,-0.115,intermediate,0.475,ihsmarkit,0.0,-0.0,,,
142,"polyol_polyether, from po and eo by semi-continuous process_co2",polyol_polyether_co2,PRODUCT,kg,1.0,intermediate,0.609,ihsmarkit,0.0,0.0,,,
143,"pur_flexible, from toluene diisocyanate and polyol_co2",polyol_polyether_co2,RAW MATERIALS,kg,-0.66401,intermediate,0.609,ihsmarkit,0.0,-0.0,,,
144,"pur_rigid, from polymeric MDI and polyol_co2",polyol_polyether_co2,RAW MATERIALS,kg,-0.1269,intermediate,0.609,ihsmarkit,0.0,-0.0,,,
145,"pp, by gas phase process_co2",pp_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
146,"pp, by gas phase process_co2",propylene_co2,RAW MATERIALS,kg,-1.01501,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
147,"polyol_polyether, from po and eo by semi-continuous process_co2",propylene_oxide_co2,RAW MATERIALS,kg,-0.9147,intermediate,0.62,ihsmarkit,0.0,-0.0,,,
148,"pur_flexible, from toluene diisocyanate and polyol_co2",pur_flexible_co2,PRODUCT,kg,1.0,intermediate,0.61,ihsmarkit,0.0,0.0,,,
149,"pur_rigid, from polymeric MDI and polyol_co2",pur_rigid_co2,PRODUCT,kg,1.0,intermediate,0.63,ihsmarkit,0.0,0.0,,,
150,"pvc, by suspension polymerization_co2",pvc_co2,PRODUCT,kg,1.0,intermediate,0.38,ihsmarkit,0.0,0.0,,,
151,"polymeric_mdi, by phosgenation_co2",sodium_hydroxide,RAW MATERIALS,kg,-0.1461875990048127,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.2488289184431002,-0.0,-2.7541740106291836e-07
152,"acetic_acid, from methanol carbonylation_co2",steam_high,UTILITIES,MJ,-2.97504,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
153,"adipic_acid, from phenol via cyclohexanol_co2",steam_high,UTILITIES,MJ,-17.298967329426922,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
154,"butene_1, from ethylene by dimerization_co2",steam_high,UTILITIES,MJ,-9.088,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
155,"diethylene_glycol, from ethylene via eo_co2",steam_high,UTILITIES,MJ,-34.20958321467538,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
156,"dinitrotoluene, from toluene by nitration_co2",steam_high,UTILITIES,MJ,-0.7040000000000001,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
157,"ethylene_glycol, from ethylene via eo_co2",steam_high,UTILITIES,MJ,-23.09536665462812,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
158,"ethylene_oxide, from ethylene by oxygen oxidation_co2",steam_high,UTILITIES,MJ,-1.2764,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
159,"gpps, by continuous bulk polymerization_co2",steam_high,UTILITIES,MJ,-0.2528,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
160,"hdpe, by gas phase process_co2",steam_high,UTILITIES,MJ,-0.2064,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
161,"nitrobenzene, from benzene by nitration_co2",steam_high,UTILITIES,MJ,-1.3456,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
162,"pet, by tpa process_co2",steam_high,UTILITIES,MJ,-0.624,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
163,"polymeric_mdi, by phosgenation_co2",steam_high,UTILITIES,MJ,-7.171831295797229,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
164,"polyol_polyester, from adipic acid and deg_co2",steam_high,UTILITIES,MJ,-1.2608,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
165,"polyol_polyether, from po and eo by semi-continuous process_co2",steam_high,UTILITIES,MJ,-1.2608,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
166,"pp, by gas phase process_co2",steam_high,UTILITIES,MJ,-0.5336533333333334,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
167,"pvc, by suspension polymerization_co2",steam_high,UTILITIES,MJ,-1.824,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
168,"terephthalic_acid, from p-xylene by air oxidation_co2",steam_high,UTILITIES,MJ,-6.3414375384615385,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
169,"vinyl_chloride, from ethylene by a balanced process_co2",steam_high,UTILITIES,MJ,-0.9472,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
170,"gpps, by continuous bulk polymerization_co2",styrene_co2,RAW MATERIALS,kg,-1.0074999999999998,intermediate,0.923,ihsmarkit,0.0,-0.0,,,
171,"dinitrotoluene, from toluene by nitration_co2",sulfuric_acid,RAW MATERIALS,kg,-0.027,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.0978551855766263,-0.0,-4.342240260888856e-07
172,"polymeric_mdi, by phosgenation_co2",sulfuric_acid,RAW MATERIALS,kg,-0.0056633832940273,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.0978551855766263,-0.0,-4.342240260888856e-07
