process,product_name,type,unit,value,product_type,carbon_content,data_source
"dinitrotoluene, from toluene by nitration",heat_high,UTILITIES,MJ,-4.186799983008,intermediate,0.0,ihsmarkit
"gpps, by continuous bulk polymerization",heat_high,UTILITIES,MJ,-0.511836299316,intermediate,0.0,ihsmarkit
"hips, by continuous bulk polymerization",heat_high,UTILITIES,MJ,-0.511836299316,intermediate,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",heat_high,UTILITIES,MJ,-1.265460306048,intermediate,0.0,ihsmarkit
"pet, by tpa process",heat_high,UTILITIES,MJ,-2.141548195752,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",heat_high,UTILITIES,MJ,-0.8178489562221349,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",heat_high,UTILITIES,MJ,-0.7163421552996925,intermediate,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",heat_high,UTILITIES,MJ,-2.6586179824320006,intermediate,0.0,ihsmarkit
"hips, by continuous bulk polymerization",hips,PRODUCT,kg,1.0,intermediate,0.923,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",hydrogen,RAW MATERIALS,kg,-0.0392631553237625,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",hydrogen,RAW MATERIALS,kg,-0.0016906177,intermediate,0.0,ihsmarkit
"ldpe, by gas phase process",ldpe,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
"acetic_acid, from methanol carbonylation",methanol,RAW MATERIALS,kg,-0.5403866666666666,intermediate,0.375,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",n2o_emission,EMISSION,kg,0.0115570981922834,emission,0.0,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",nitric_acid,RAW MATERIALS,kg,-0.3677951888688839,intermediate,0.0,ihsmarkit
"dinitrotoluene, from toluene by nitration",nitric_acid,RAW MATERIALS,kg,-0.6204954973821992,intermediate,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",nitric_acid,RAW MATERIALS,kg,-0.310896,intermediate,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",nitrobenzene,PRODUCT,kg,1.0,intermediate,0.585,ihsmarkit
"acetic_acid, from methanol carbonylation",nitrogen_liquid,UTILITIES,kg,-0.0015290560277777,intermediate,0.0,ihsmarkit
"hdpe, by gas phase process",nitrogen_liquid,UTILITIES,kg,-0.056118906275,intermediate,0.0,ihsmarkit
"ldpe, by gas phase process",nitrogen_liquid,UTILITIES,kg,-0.0229817142333333,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",nitrogen_liquid,UTILITIES,kg,-0.05084843568375,intermediate,0.0,ihsmarkit
"polyol_polyester, from adipic acid and deg",nitrogen_liquid,UTILITIES,kg,-0.01788996135,intermediate,0.0,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",nitrogen_liquid,UTILITIES,kg,-0.0542203349,intermediate,0.0,ihsmarkit
"pp, by gas phase process",nitrogen_liquid,UTILITIES,kg,-0.0360898923083333,intermediate,0.0,ihsmarkit
"pvc, by suspension polymerization",nitrogen_liquid,UTILITIES,kg,-0.0068807540666666,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",nitrogen_liquid,UTILITIES,kg,-0.0076500746615384,intermediate,0.0,ihsmarkit
"diethylene_glycol, from ethylene via eo",oxygen_liquid,RAW MATERIALS,kg,-0.8323112824063907,intermediate,0.0,ihsmarkit
"ethylene_glycol, from ethylene via eo",oxygen_liquid,RAW MATERIALS,kg,-0.5619049526950435,intermediate,0.0,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",oxygen_liquid,RAW MATERIALS,kg,-0.8113049999999999,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",oxygen_liquid,RAW MATERIALS,kg,-0.0483438440574428,intermediate,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",oxygen_liquid,RAW MATERIALS,kg,-0.1378,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",p-xylene,RAW MATERIALS,kg,-0.6547607692307693,intermediate,0.9056603773584906,ihsmarkit
"pet, by tpa process",pet,PRODUCT,kg,1.0,intermediate,0.63,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",phenol,RAW MATERIALS,kg,-0.6723009521880527,intermediate,0.766,ihsmarkit
"hips, by continuous bulk polymerization",polybutadiene,RAW MATERIALS,kg,-0.0688999999999999,intermediate,0.888,ihsmarkit
"polybutadiene, by solution process",polybutadiene,PRODUCT,kg,1.0,intermediate,0.888,ihsmarkit
"polymeric_mdi, by phosgenation",polymeric_mdi,PRODUCT,kg,1.0,intermediate,0.72,ihsmarkit
"pur_rigid, from polymeric MDI and polyol",polymeric_mdi,RAW MATERIALS,kg,-0.6398,intermediate,0.72,ihsmarkit
"polyol_polyester, from adipic acid and deg",polyol_polyester,PRODUCT,kg,1.0,intermediate,0.475,ihsmarkit
"pur_rigid, from polymeric MDI and polyol",polyol_polyester,RAW MATERIALS,kg,-0.115,intermediate,0.475,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",polyol_polyether,PRODUCT,kg,1.0,intermediate,0.609,ihsmarkit
"pur_flexible, from toluene diisocyanate and polyol",polyol_polyether,RAW MATERIALS,kg,-0.66401,intermediate,0.609,ihsmarkit
"pur_rigid, from polymeric MDI and polyol",polyol_polyether,RAW MATERIALS,kg,-0.1269,intermediate,0.609,ihsmarkit
"pp, by gas phase process",pp,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
"pp, by gas phase process",propylene,RAW MATERIALS,kg,-1.01501,intermediate,0.85714,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",propylene_oxide,RAW MATERIALS,kg,-0.9147,intermediate,0.62,ihsmarkit
"pur_flexible, from toluene diisocyanate and polyol",pur_flexible,PRODUCT,kg,1.0,intermediate,0.61,ihsmarkit
"pur_rigid, from polymeric MDI and polyol",pur_rigid,PRODUCT,kg,1.0,intermediate,0.63,ihsmarkit
"pvc, by suspension polymerization",pvc,PRODUCT,kg,1.0,intermediate,0.38,ihsmarkit
"polymeric_mdi, by phosgenation",sodium_hydroxide,RAW MATERIALS,kg,-0.1461875990048127,raw_material,0.0,ihsmarkit
"acetic_acid, from methanol carbonylation",steam_high,UTILITIES,MJ,-2.97504,intermediate,0.0,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",steam_high,UTILITIES,MJ,-17.298967329426922,intermediate,0.0,ihsmarkit
"butene_1, from ethylene by dimerization",steam_high,UTILITIES,MJ,-9.088,intermediate,0.0,ihsmarkit
"diethylene_glycol, from ethylene via eo",steam_high,UTILITIES,MJ,-34.20958321467538,intermediate,0.0,ihsmarkit
"dinitrotoluene, from toluene by nitration",steam_high,UTILITIES,MJ,-0.7040000000000001,intermediate,0.0,ihsmarkit
"ethylene_glycol, from ethylene via eo",steam_high,UTILITIES,MJ,-23.09536665462812,intermediate,0.0,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",steam_high,UTILITIES,MJ,-1.2764,intermediate,0.0,ihsmarkit
"gpps, by continuous bulk polymerization",steam_high,UTILITIES,MJ,-0.2528,intermediate,0.0,ihsmarkit
"hdpe, by gas phase process",steam_high,UTILITIES,MJ,-0.2064,intermediate,0.0,ihsmarkit
"hips, by continuous bulk polymerization",steam_high,UTILITIES,MJ,-0.2528,intermediate,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",steam_high,UTILITIES,MJ,-1.3456,intermediate,0.0,ihsmarkit
"pet, by tpa process",steam_high,UTILITIES,MJ,-0.624,intermediate,0.0,ihsmarkit
"polybutadiene, by solution process",steam_high,UTILITIES,MJ,-19.19744,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",steam_high,UTILITIES,MJ,-7.171831295797229,intermediate,0.0,ihsmarkit
"polyol_polyester, from adipic acid and deg",steam_high,UTILITIES,MJ,-1.2608,intermediate,0.0,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",steam_high,UTILITIES,MJ,-1.2608,intermediate,0.0,ihsmarkit
"pp, by gas phase process",steam_high,UTILITIES,MJ,-0.5336533333333334,intermediate,0.0,ihsmarkit
"pvc, by suspension polymerization",steam_high,UTILITIES,MJ,-1.824,intermediate,0.0,ihsmarkit
