product_from,product_to,unit,flow_amount,flowxbdv,flowxcarbon,flowxcc
pla,textiles_hdpe,kg,1.4775548951987194,10.943930265069,0.7387774475993597,0.6364163867050976
pla,textiles_pet,kg,30.01627062120087,222.32403923759568,15.008135310600435,12.928688167987053
pla,textiles_pp,kg,22.297415323813507,165.1521437125874,11.148707661906753,9.604002219718383
pp,Building and Construction,kg,4.873902424371745,70.37495423949953,4.191556084959701,4.465259169148515
pp,Consumer products,kg,13.070679068016155,188.729350979855,11.240783998493892,11.974792368351512
pp,Electrical and Electronics,kg,4.631628207941947,66.87672316917698,3.983200258830075,4.243297982368935
pp,Other,kg,20.038444438232272,289.33788319595425,17.233062216879755,18.358358451302692
pp,Packaging,kg,9.303371889620578,134.3326792369032,8.000899825073697,8.523348031425078
pp,Transport,kg,8.2081600718521,118.51876364175239,7.059017661792806,7.519962205111396
propylene,other_intermediates,kg,12.961746192993065,179.816258255857,11.147101725974036,11.344005678482874
propylene,pp,kg,61.02868015339631,846.641243246189,52.484664931920825,53.41176134004966
pur_flexible,Building and Construction,kg,6.182729013183889,128.99501055242837,3.771464698042172,11.023188622341118
pur_flexible,Consumer products,kg,4.785604584918802,99.84573359353053,2.919218796800469,8.532255238586734
pur_flexible,Electrical and Electronics,kg,1.0292507128759885,21.474045892262318,0.6278429348543529,1.8350512732351634
pur_flexible,Other,kg,6.375868684892087,133.0246314426478,3.889279897784173,11.36753737629049
pur_flexible,Packaging,kg,0.37412488078186784,7.805653917788435,0.22821617727693938,0.6670273143745098
pur_flexible,Transport,kg,4.051411684033614,84.52770480798102,2.4713611272605043,7.223262589162246
pur_rigid,Consumer products,kg,4.785604584918802,74.55598044856339,3.0149308884988453,11.356182611667624
pur_rigid,Electrical and Electronics,kg,1.0292507128759885,16.034921954830526,0.6484279491118727,2.4423996678378153
pur_rigid,Other,kg,6.375868684892087,99.33105265559408,4.016797271482015,15.129860357001508
pur_rigid,Packaging,kg,0.37412488078186784,5.828573339468103,0.23569867489257673,0.887793880655386
pur_rigid,Transport,kg,4.051411684033614,63.11782867639835,2.5523893609411767,9.613951613118953
pvc,Building and Construction,kg,32.89884136450928,394.5350622800122,12.501559718513526,31.090092156042985
pvc,Consumer products,kg,2.3003959956638558,27.58719881232716,0.8741504783522652,2.1739222578742727
pvc,Electrical and Electronics,kg,2.058501425751977,24.68630974611419,0.7822305417857512,1.9453268375285668
pvc,Other,kg,6.375868684892087,76.46177325250008,2.422830100258993,6.025329062255877
pvc,Packaging,kg,4.137114164843844,49.6138017932454,1.5721033826406607,3.909659286172386
pvc,Transport,kg,1.5192793815126049,18.21975974061039,0.5773261649747898,1.4357507444915278
rapeseed_straw,agricultural_residue,kg,36.71128183683346,65.26246245696537,18.13537322739573,6.570780095882889
rice_straw,agricultural_residue,kg,413.66574839897555,849.4102658052867,204.35087970909393,71.18477500880691
sorghum_straw,agricultural_residue,kg,97.54963715382405,389.27549263447594,48.18952075398908,12.888697467520812
soybean_straw,agricultural_residue,kg,120.44586293222649,384.3645606005748,59.500256288519886,10.997494234239461
styrene,btx,kg,1.3732536745849724,18.640573653098734,1.2676187765399747,1.168364424552849
styrene,gpps,kg,31.26238200359688,546.0444589741007,28.855178589319923,35.85774835109216
styrene,hips,kg,3.8749217662482565,67.68132892671308,3.576552790247141,4.444510004334065
sugarcane_tops_and_leaves,agricultural_residue,kg,192.09286890017316,357.53417239016795,94.89387723668554,19.154648399152496
syngas_2_to_1,carbon_monoxide,kg,5.673900303171031,19.495723828816377,2.126517281764467,1.180177621429529
syngas_2_to_1,co2_emission,kg,10.912679059744562,0.0,2.976185198112153,0.0
terephthalic_acid,pet,kg,3.4495725036182954,36.761107638791216,1.9938529070913746,2.319282295195401
vinyl_chloride,pvc,kg,49.55518122264604,560.8450211648772,19.02918958949608,44.449023170597435
wheat_straw,agricultural_residue,kg,254.1575917525405,758.2024285312002,125.55385032575501,38.740604883281165
