,Product,Location,GHG,Biodiversity,Scenario,Year,Ammonia,Carbon monoxide,NMVOC,Nitrogen oxides,Particulates,Sulfur dioxide,Sulfur oxides
1393,wheat_straw,MW,0.09431449021302878,5.456945127361354,scenRCP1p9,2050,0.00021223294967237635,0.00020665638932644792,6.357367047296264e-05,0.00037385340417178203,1.9756596007165854e-05,6.182358507217108e-05,1.8816226605773662e-07
1394,barley_straw,NZ,0.13536278404306726,1.456865984614717,scenRCP1p9,2050,0.001260850153665776,5.9948829482962544e-05,3.397265329172969e-05,0.0004497702514895864,4.797035578619645e-06,4.483883860841891e-05,7.223159823179376e-08
1395,forest_residue_lbdv,GT,0.010390793680713467,4.601868393326745,scenRCP1p9,2050,1.4356341569202828e-06,0.0004237307656609821,0.00012975799003008058,4.49257738858455e-05,4.131788410835276e-06,1.100061869750786e-05,1.382661049807335e-08
1396,co2_feedstock_fossil,ID,0.0,0.0,scenRCP1p9,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,forest_residue_lbdv,RO,0.019302403438573354,2.342253724510381,scenRCP1p9,2050,1.6500670615177967e-06,0.000654299900498355,0.0002008780312116684,8.726204236999581e-05,6.172350212621312e-06,1.8816215705684228e-05,2.1955332935799062e-08
1398,agricultural_residue,RUS,0.16923613712994984,0.39418653043285135,scenRCP1p9,2050,0.0005968653388327273,0.00016710385775999947,6.199365813397812e-05,0.0004206507511208589,1.6090854705234942e-05,8.680004989823169e-05,2.2808108383899336e-07
1399,agricultural_residue,CR,0.05232371172968402,7.29685757111163,scenRCP1p9,2050,2.376601727350378e-05,5.852745881446646e-05,2.4516663368027542e-05,0.0001075984399605096,6.1976187677800815e-06,5.783766813911475e-05,4.8233199209888385e-08
1400,barley_straw,KG,0.3829873644489842,3.5170168051157322,scenRCP1p9,2050,0.001620351345977138,0.00042269439775603307,0.00013994823747415003,0.0010321215345950785,3.927846576409998e-05,0.0001353708605981667,4.740716930894185e-07
1401,maize_stover_lbdv,RSAM,0.06938638302583182,2.693448696186564,scenRCP1p9,2050,0.000569082594828811,5.349303963970858e-05,2.932044349222945e-05,0.00025804481438604815,5.092311436163926e-06,6.177899188927117e-05,6.467763982185224e-08
1402,co2_feedstock_fossil,HU,0.0,0.0,scenRCP1p9,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
